"date_time","file_name","start_time","end_time","start_freq","end_freq","class_label","call_type","confidence","notes","labeler","id"
"2022-05-30 14:25:50","RICHFIELDM1_20220413_134900_start_1_24.wav",7.2917031795917,11.285242099639,2.7870967292217,10.143920775678,"wren","call",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:26:52","RICHFIELDM1_20220413_134900_start_3_2.wav",7.4041972336776,8.1149551208563,0.58473539047355,4.0054242783164,"blackbird","alarm call",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:30:57","RICHFIELDM1_20220413_141900_start_1_10.wav",3.1907835715533,7.1536422950318,1.8030629395683,9.6284745049073,"wren","call",0.75,NA,"markshorten@icloud.com",1
"2022-05-30 14:34:28","RICHFIELDM1_20220413_141900_start_3_2.wav",0.76193467651799,1.2016841606717,1.8030629395683,10.706225798337,"chaffinch","call",0.75,NA,"markshorten@icloud.com",1
"2022-05-30 14:34:55","RICHFIELDM1_20220413_141900_start_3_2.wav",1.3244049469472,3.9526751196801,2.1310742027861,9.5816157530191,"wren","call",0.6,NA,"markshorten@icloud.com",1
"2022-05-30 14:35:08","RICHFIELDM1_20220413_141900_start_3_2.wav",4.4231048004027,5.2668102060466,2.5059442178921,7.8947006850418,"wren","call",0.6,NA,"markshorten@icloud.com",1
"2022-05-30 14:35:29","RICHFIELDM1_20220413_141900_start_3_2.wav",14.107820183975,14.961752321808,2.5059442178921,7.8947006850418,"wren","call",0.6,NA,"markshorten@icloud.com",1
"2022-05-30 14:36:12","RICHFIELDM1_20220413_141900_start_3_58.wav",2.9197751685283,6.1258557099748,0.35044163103226,10.706225798337,"chaffinch","song",0.6,NA,"markshorten@icloud.com",1
"2022-05-30 14:39:20","RICHFIELDM1_20220413_143400_start_0_0.wav",0.64944062243214,2.3828717285731,2.0842154508978,8.6444407152539,"wren","call",0.55,NA,"markshorten@icloud.com",1
"2022-05-30 14:42:59","RICHFIELDM1_20220413_143400_start_0_56.wav",-0.015296969893301,3.0987429818467,1.8967804433448,9.01931073036,"wren","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:43:42","RICHFIELDM1_20220413_143400_start_0_56.wav",-0.018203883495146,3.062949419183,2.0373566990095,8.6912994671422,"wren","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:44:08","RICHFIELDM1_20220413_143400_start_0_56.wav",0.0051564944859435,3.062949419183,2.0842154508978,8.9724519784717,"wren","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:45:24","RICHFIELDM1_20220413_143400_start_2_48.wav",1.1352104014392,1.5698465194981,0.72531164613832,11.924553347432,"Noise","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:45:33","RICHFIELDM1_20220413_143400_start_2_48.wav",1.8817618512816,2.0862964950741,1.0064641574679,11.830835843655,"Noise","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:46:51","RICHFIELDM1_20220413_143400_start_3_30.wav",8.6416318286219,9.7154387085322,-0.01171875,11.643400836102,"Noise","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:47:03","RICHFIELDM1_20220413_143400_start_3_30.wav",0.29661836189018,1.1607772319133,2.0842154508978,11.643400836102,"Noise","song",1,NA,"markshorten@icloud.com",1
"2022-05-30 14:49:05","RICHFIELDM1_20220413_143400_start_3_30.wav",10.947759937382,14.291901363388,-0.01171875,11.17481331722,"blackbird","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:49:21","RICHFIELDM1_20220413_143400_start_3_30.wav",13.678297432011,13.84703851314,0.91274665369135,11.455965828549,"Noise","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:49:33","RICHFIELDM1_20220413_143400_start_3_30.wav",13.172074188625,13.356155368038,0.81902914991483,11.127954565332,"Noise","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:50:47","RICHFIELDM1_20220413_143400_start_3_44.wav",10.05292087079,13.039126670159,2.0842154508978,8.8787344746952,"wren","song",0.45,NA,"markshorten@icloud.com",1
"2022-05-30 14:51:18","RICHFIELDM1_20220413_143400_start_3_44.wav",0.34775202283829,1.9942559053675,1.4750516763504,9.1130282341365,"wren","song",0.4,NA,"markshorten@icloud.com",1
"2022-05-30 14:52:26","RICHFIELDM1_20220413_143400_start_3_44.wav",13.790791486097,15.007772616662,1.0064641574679,6.488938128394,"blackbird","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:53:31","RICHFIELDM1_20220413_143400_start_4_40.wav",3.8504077977839,5.7014463241055,0.39730038292051,11.690259587991,"Noise","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:53:32","RICHFIELDM1_20220413_143400_start_4_40.wav",3.8504077977839,5.7014463241055,0.39730038292051,11.690259587991,"Noise","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:54:36","RICHFIELDM1_20220413_143400_start_4_40.wav",7.2814764474021,10.666524802167,0.67845289425006,4.0991417820929,"blackbird","song",0.65,NA,"markshorten@icloud.com",1
"2022-05-30 14:55:25","RICHFIELDM1_20220413_143400_start_4_40.wav",11.471772412126,11.910067262048,1.1470404131326,11.737118339879,"Noise","song",0.95,NA,"markshorten@icloud.com",1
"2022-05-30 14:57:41","RICHFIELDM1_20220413_144900_start_3_2.wav",3.8242786152031,6.1606181676418,1.0533229093561,11.221672069108,"wren","song",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 14:58:07","RICHFIELDM1_20220413_144900_start_3_2.wav",-0.00061482929566936,1.6407376410885,0.77217039802658,8.6912994671422,"blackbird","song",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 14:58:25","RICHFIELDM1_20220413_144900_start_3_2.wav",-0.0055438156932194,1.6308796682934,0.67845289425006,8.5507232114774,"blackbird","song",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 14:58:30","RICHFIELDM1_20220413_144900_start_3_2.wav",-0.0055438156932194,1.6308796682934,0.67845289425006,8.5507232114774,"blackbird","song",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 14:58:40","RICHFIELDM1_20220413_144900_start_3_2.wav",0.019101116294531,1.5963767635105,0.67845289425006,8.2695707001478,"blackbird","song",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 15:06:11","RICHFIELDM1_20220413_150400_start_0_14.wav",-0.0081060855711389,2.3481643505303,0.58473539047355,9.3004632416895,"linnet","call",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 15:06:20","RICHFIELDM1_20220413_150400_start_0_14.wav",0.004769709161656,2.2644716847672,0.86588790180309,8.9724519784717,"linnet","call",0.85,NA,"markshorten@icloud.com",1
"2022-05-30 15:06:28","RICHFIELDM1_20220413_150400_start_0_14.wav",2.4704844004919,6.037079541476,0.91274665369135,8.7381582190304,"linnet","call",0.85,NA,"markshorten@icloud.com",1
