date_time,file_name,start_time,end_time,start_freq,end_freq,class_label,call_type,confidence,notes,labeler,id
31/05/2022 12:51,RICHFIELDM1_20220413_133400_start_0_14.wav,14.55244344,14.94366574,0.17295528,11.98828125,Noise,song,1,NA,NA,1
31/05/2022 12:57,RICHFIELDM1_20220413_133400_start_3_2.wav,-0.01543966,2.5686866,2.523234953,9.903113125,Wren,song,1,NA,NA,1
31/05/2022 12:58,RICHFIELDM1_20220413_133400_start_3_2.wav,11.31971178,15.01820388,2.61724614,9.809101938,Wren,song,1,NA,NA,1
31/05/2022 12:58,RICHFIELDM1_20220413_133400_start_3_2.wav,-0.018203883,2.476028686,3.275324448,9.43305719,Wren,song,1,NA,NA,1
31/05/2022 12:58,RICHFIELDM1_20220413_133400_start_3_2.wav,0.015446312,2.48632401,2.993290887,9.856107531,Wren,song,1,NA,NA,1
31/05/2022 12:59,RICHFIELDM1_20220413_134900_start_1_24.wav,6.99567581,12.28747221,1.019055962,9.104018036,Wren,song,1,NA,NA,1
31/05/2022 13:00,RICHFIELDM1_20220413_134900_start_1_24.wav,0.344896671,0.931730125,0.078944093,11.98828125,Rook,call,1,NA,NA,1
31/05/2022 13:02,RICHFIELDM1_20220413_134900_start_1_24.wav,7.93255027,9.796003868,0.125949687,11.83034246,Rook,call,1,NA,NA,1
31/05/2022 13:03,RICHFIELDM1_20220413_134900_start_1_24.wav,14.0170866,14.98484703,0.078944093,11.68932568,Rook,call,1,NA,NA,1
31/05/2022 13:08,RICHFIELDM1_20220413_134900_start_3_2.wav,7.397193436,8.148752069,0.549000028,3.745380382,Blackbird,alarm call,1,NA,NA,1
31/05/2022 13:09,RICHFIELDM1_20220413_134900_start_3_2.wav,-0.018203883,1.775946672,2.993290887,7.693850232,Wren,song,1,NA,NA,1
31/05/2022 13:09,RICHFIELDM1_20220413_134900_start_3_2.wav,-0.018203883,2.095101708,2.664251733,7.082777517,Wren,song,1,NA,NA,1
31/05/2022 13:10,RICHFIELDM1_20220413_134900_start_3_2.wav,0.025741635,1.652402787,3.087302074,6.800743957,Wren,song,1,NA,NA,1
31/05/2022 13:11,RICHFIELDM1_20220413_134900_start_3_2.wav,5.224880126,7.366307464,0.17295528,11.83034246,Rook,call,1,NA,NA,1
31/05/2022 13:13,RICHFIELDM1_20220413_134900_start_3_58.wav,0.180171492,0.519917175,0.0319385,11.83034246,Human,call,1,NA,NA,1
31/05/2022 13:13,RICHFIELDM1_20220413_134900_start_3_58.wav,1.086159981,3.258473291,3.886397163,9.198029223,Wren,song,1,NA,NA,1
31/05/2022 13:14,RICHFIELDM1_20220413_134900_start_3_58.wav,1.117045952,3.217291996,0.219960874,4.873514625,Rook,call,1,NA,NA,1
31/05/2022 13:16,RICHFIELDM1_20220413_134900_start_3_58.wav,9.240056386,13.98620063,0.17295528,5.860632088,Rook,call,1,NA,NA,1
04/04/2023 19:26,CARNSOREMET_20220427_153300_start_3_44.wav,8.001548834,10.00172859,2.423506701,8.329902526,Bar-tailed Godwit,,1,NA,Anthony,1
2025-04-07T02:35:34+0000,XC984256 - Crab-eating Mongoose - Urva urva.wav,32.08281494,33.22713717,0.676842437,10.94046239,mongoose,,1,NA,Anthony,1
2025-04-07T02:35:42+0000,XC984256 - Crab-eating Mongoose - Urva urva.wav,22.39081561,29.58763729,0.585202973,11.03210185,mongoose,,1,NA,Anthony,1
2025-04-07T02:36:08+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,17.137963,18.79240477,1.135039756,11.03210185,mongoose,,1,NA,Anthony,1
2025-04-07T02:36:11+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,23.56271186,24.3485717,2.051434395,8.282917938,mongoose,,1,NA,Anthony,1
2025-04-07T02:36:14+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,27.83668642,28.5673982,2.143073858,8.649475793,mongoose,,1,NA,Anthony,1
2025-04-07T02:36:17+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,29.24296192,29.91852564,1.593237075,8.924394185,mongoose,,1,NA,Anthony,1
2025-04-07T02:37:24+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,32.55157345,34.16465417,1.776516003,11.12374132,mongoose,,1,NA,Anthony,1
2025-04-07T02:37:31+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,35.26761534,37.9422962,1.409958147,11.21538078,mongoose,,1,NA,Anthony,1
2025-04-07T02:37:34+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,38.61785992,39.84490423,1.776516003,10.665544,mongoose,,1,NA,Anthony,1
2025-04-07T02:37:58+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,1.36589018,2.013879871,2.326352786,12.31505435,mongoose,,1,NA,Anthony,1
2025-04-07T02:38:01+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,9.762182141,10.50668094,2.143073858,11.21538078,mongoose,,1,NA,Anthony,1
2025-04-07T02:38:05+0000,XC984255 - Crab-eating Mongoose - Urva urva.wav,12.74017732,13.0986397,2.051434395,9.382591504,mongoose,,1,NA,Anthony,1
